,ID,tags,text
25,NCT02392572,",,,,235:253:chronic_disease,,","Patients must have the following clinical laboratory values unless considered due to leukemic organ involvement: (1) Serum creatinine < 2.0 mg/dl; (2) Total bilirubin </= 1.5 x the upper limit of normal (ULN) unless considered due to Gilbert's syndrome; (3) Alanine aminotransferase (ALT), or aspartate aminotransferase (AST) </= 3 x the ULN unless considered due to organ leukemic involvement"
26,NCT02390752,",,86:104:chronic_disease",TBil and DBil less than or equal to ULN with an exception of patients with confirmed Gilbert's syndrome
27,NCT02362997,",,,,111:129:chronic_disease","total bilirubin ? 1.5 × institutional upper limit of normal (ULN), or direct bilirubin ? ULN in patients with Gilbert's syndrome"
28,NCT02360579,"15:33:chronic_disease,,",Patients with Gilbert's syndrome must have a total bilirubin ? 3 mg/dL
29,NCT02273375,11:29:chronic_disease,excluding Gilbert's syndrome
30,NCT02257424,21:39:chronic_disease,subjects with known Gilbert's syndrome
31,NCT02227199,",,64:82:chronic_disease,","Total bilirubin < 2 times upper limit of normal (unless due to Gilbert's syndrome), performed within 28 days prior to registration"
32,NCT02200445,",,,,,,129:147:chronic_disease","Total bilirubin > 2.0 mg/dL, ALT > 2x institutional ULN, GGT > 2x institutional ULN. Elevated unconjugated bilirubin related to Gilbert's syndrome is allowed"
33,NCT02120222,",,75:93:chronic_disease,,",Bilirubin < 2 times the upper limit of normal (ULN) (except patients with Gilbert's syndrome who must have a total bilirubin of < 3 times ULN)
34,NCT02037048,"15:33:chronic_disease,,",Patients with Gilbert's syndrome are eligible provided the total bilirubin is ? 3
35,NCT01896999,",,65:83:chronic_disease,,","Bilirubin =< 2 x upper limit of normal (ULN) (unless documented Gilbert's syndrome, for which Bilirubin =< 3 x upper limit of normal [ULN] is permitted) (obtained within 2 weeks prior to registration)"
36,NCT01896999,",,65:83:chronic_disease,,,","Bilirubin =< 2 x upper limit of normal (ULN) (unless documented Gilbert's syndrome, for which bilirubin =< 3 x upper limit of normal [ULN] is permitted) (obtained within 2 weeks prior to registration)"
37,NCT01841333,12:30:chronic_disease,documented Gilbert's syndrome
38,NCT01823198,",,32:50:chronic_disease",Bilirubin =< 1.5 mg/dl (unless Gilbert's syndrome)
39,NCT01434472,",70:88:chronic_disease,","Bilirubin < 1.5 mg/dL with the exception of patients thought to have Gilbert's syndrome, who may have a total bilirubin above 1.5 mg/dL"
40,NCT01421810,",129:147:chronic_disease","Persistent liver test abnormalities, with the exception that mild bilirubin elevations will be accepted in the setting of known Gilbert's syndrome"
41,NCT02983903,",,,60:66:treatment,91:103:treatment",At least one 10-40 mm peripheral lung lesion documented on CTscan referred for diagnostic bronchoscopy
42,NCT02433977,82:94:treatment,Unable or unlikely to complete study assessments or the study intervention (i.e. bronchoscopy) poses undue risk to patient in the opinion of the Investigator
43,NCT02237183,54:66:treatment,Participants must have the ability to safely undergo bronchoscopy in the judgment of the investigators
44,NCT02373644,"1:17:treatment,21:43:treatment,",Physical therapy or chiropractic treatment for low back pain in the 3 months before initial examination
45,NCT02323880,"1:19:treatment,64:82:treatment",Anti-cancer agents: Patients who are currently receiving other anti-cancer agents
46,NCT02774421,35:53:treatment,who are currently receiving other anti-cancer agents
47,NCT02574728,31:49:treatment,Currently receiving any other anti-cancer agents
48,NCT02354547,44:62:treatment,Patients who are currently receiving other anti-cancer agents
49,NCT01851694,"8:24:chronic_disease,40:59:chronic_disease","Severe CF liver disease, as defined by portal hypertension"
50,NCT02724540,1:20:chronic_disease,portal hypertension with hepatofugal flow
51,NCT02464878,1:20:chronic_disease,portal hypertension
52,NCT00969111,"21:27:cancer,40:68:cancer,","Prior or concurrent cancer, other than non-melanomatous skin cancer, unless disease free for at least 5 years"
53,NCT02865135,1:29:cancer,non-melanomatous skin cancer
54,NCT02857218,1:29:cancer,non-melanomatous skin cancer
55,NCT02413047,1:29:cancer,non-melanomatous skin cancer
56,NCT02353819,1:29:cancer,non-melanomatous skin cancer
57,NCT02110992,1:29:cancer,non-melanomatous skin cancer
58,NCT02440815,"22:52:chronic_disease,62:89:chronic_disease",Current diagnosis of Post-Traumatic Stress Disorder or other Axis 1 psychiatric disorder
59,NCT00285935,45:75:chronic_disease,No current (in the last month) diagnosis of Post-Traumatic Stress Disorder (DSM-5 criteria)
60,NCT02588027,"71:99:chronic_disease,103:116:chronic_disease",Patients with a medical chart record or those who report a history of upper gastroenterology bleed or gastic ulcers
61,NCT02167009,",,28:52:treatment,46:52:treatment,,",Baseline PSA >10 ng/mL AND negative prostate biopsy result (minimum of 12 core biopsy) within 12 months
62,NCT02503709,"28:43:chronic_disease,144:153:treatment",Patients with pre-existing retinal disease on ophthalmologic exam will be excluded due to potential eye toxicities known to be associated with onalespib
63,NCT02402660,7:22:chronic_disease,other retinal disease
64,NCT02351544,"15:24:chronic_disease,45:66:chronic_disease",Patients with migraines related to inferior turbinate hypertrophy or septal deviation
65,NCT01695967,1:22:chronic_disease,turbinate hypertrophy
66,NCT02075671,"8:20:treatment,24:42:treatment,",Use of topical acne or rosacea treatments (on the face) within 2 weeks prior to Visit 1
67,NCT02611063,"10:26:treatment,40:50:chronic_disease","Ongoing, tapering therapy for resolved acute GVHD is permissible"
68,NCT02479698,"22:32:chronic_disease,,",Patients with active acute GVHD grades II-IV
69,NCT02424968,28:38:chronic_disease,patients with a history of acute GVHD overall grade II based on skin only involvement or upper gastrointestinal (GI) tract involvement only
70,NCT02048332,"8:18:chronic_disease,,",Active acute GVHD grades II-IV
71,NCT02578732,"27:38:allergy_name,42:52:allergy_name",Prior hypersensitivity to Oxaliplatin or Abraxane ® that in the investigators opinion would put the patient at risk if re-exposed
72,NCT02080221,"27:38:allergy_name,42:52:allergy_name",Prior hypersensitivity to Oxaliplatin or Abraxane ® that in the investigators opinion would put the patient at risk if re-exposed
73,NCT01871454,"21:42:treatment,60:72:treatment",Plans to administer systemic chemotherapy overlapping with radiotherapy
74,NCT03104699,1:13:treatment,radiotherapy
75,NCT03093909,"4:16:treatment,",No radiotherapy within 2 weeks
76,NCT02908906,1:13:treatment,radiotherapy
77,NCT02672098,34:46:treatment,Subjects who have received prior radiotherapy to any portion of the abdominal cavity or pelvis
78,NCT02592707,"15:27:treatment,",Any extensive radiotherapy ? 3 months before enrolment
79,NCT02589938,"21:33:treatment,",Must have completed radiotherapy at least 12 months prior to entry
80,NCT02536794,"1:13:treatment,",radiotherapy within 2 weeks prior to entering the study
81,NCT02525692,",23:35:treatment",Must be 12 weeks from radiotherapy
82,NCT02481310,"23:35:treatment,",Patients who have had radiotherapy within 14 days before registration
83,NCT02474368,",,53:65:treatment",Pregnant women are excluded from this study because radiotherapy has the potential for teratogenic or abortifacient effects
84,NCT02473536,"23:35:treatment,,",Subjects who have had radiotherapy to a target within 3 cm of the IVC tumor thrombus
85,NCT02465060,5:17:treatment,the radiotherapy must not be to a lesion that is included as measurable disease
86,NCT02408861,"1:13:treatment,",radiotherapy must be completed at least 4 weeks prior to registration
87,NCT02334579,17:29:treatment,Prior high-dose radiotherapy to the prostate or lower pelvis
88,NCT02307058,42:54:treatment,It must be started prior to the start of radiotherapy
89,NCT02266745,"12:24:treatment,",Receipt of radiotherapy to >25 % of bone marrow
90,NCT02131805,67:79:treatment,BCC/SCC in region adjacent to or overlapping with region of prior radiotherapy
91,NCT01811368,"1:13:treatment,",radiotherapy must have been completed at least 4 weeks prior to entry into the study
92,NCT01763970,33:45:treatment,patients who have had any prior radiotherapy to the treatment site(s)
93,NCT01688388,10:22:treatment,Previous radiotherapy to the involved breast
94,NCT01554410,7:19:treatment,Prior radiotherapy to the pelvis
95,NCT01538966,"17:29:treatment,",The patient had radiotherapy within 12 months prior to study entry
96,NCT01508390,10:22:treatment,No prior radiotherapy to the pelvis
97,NCT01360606,10:22:treatment,No prior radiotherapy to the upper abdomen
98,NCT00909909,48:60:treatment,Breast considered technically satisfactory for radiotherapy
99,NCT00909909,43:55:treatment,"May be initiated before, during, or after radiotherapy"
100,NCT00909909,81:93:treatment,No evidence of suspicious microcalcifications in the breast before the start of radiotherapy
101,NCT00670358,"10:22:treatment,,",No prior radiotherapy to ? 25% of the bone marrow
102,NCT00632853,10:22:treatment,No prior radiotherapy
103,NCT01554410,"7:28:treatment,",Prior systemic chemotherapy within the last three years
104,NCT00293475,"7:28:treatment,,",prior systemic chemotherapy must have been given at least 4 weeks prior to study entry (6 weeks for nitrosourea agents)
105,NCT02945800,"115:138:treatment,221:234:treatment","Hematopoietic growth factors: 7 days must have elapsed from the start of protocol therapy since the completion of therapy with filgrastim, and 14 days must have elapsed from the start of protocol therapy after receiving pegfilgrastim"
106,NCT02304458,",105:118:treatment,,","Hematopoietic growth factors: At least 14 days after the last dose of a long-acting growth factor (e.g. pegfilgrastim) or 7 days for short-acting growth factor; for agents that have known adverse events occurring beyond 7 days after administration, this period must be extended beyond the time during which adverse events are known to occur; the duration of this interval must be discussed with the study chair"
107,NCT02114229,",52:65:treatment",At least 14 days must have elapsed after receiving pegfilgrastim
108,NCT02076906,1:14:treatment,pegfilgrastim
109,NCT02025465,"39:48:allergy_name,52:62:allergy_name",Known allergy or adverse reactions to diltiazem or metoprolol
110,NCT02594111,1:10:treatment,diltiazem
111,NCT02971202,1:11:treatment,metoprolol
112,NCT02293096,21:31:allergy_name,hypersensitivity to metoprolol or its derivatives
113,NCT03088072,"36:46:treatment,50:59:treatment",A need for on-going treatment with ticagrelor or prasugrel
114,NCT02471430,"8:30:treatment,68:85:treatment",Use of HIV protease inhibitor or other strong or moderately strong CYP3A4 inhibitors
115,NCT02393794,20:37:treatment,Concomitant use of CYP3A4 inhibitors
116,NCT01908777,20:37:treatment,Concomitant use of CYP3A4 inhibitors
117,NCT02578901,"26:48:cancer,52:59:chronic_disease",Confirmed diagnosis of a hematologic malignancy or aplasia
118,NCT01666080,70:77:chronic_disease,"Occasionally donor derived engraftment may be present, but sustained aplasia or failed recovery of sufficient hematopoiesis requires administration of a second graft"
119,NCT03007030,"10:32:cancer,",no prior hematologic malignancy within 3 years
120,NCT02712229,1:23:cancer,hematologic malignancy
121,NCT02706353,26:48:cancer,Patients with history of hematologic malignancy
122,NCT01807611,11:33:cancer,High risk hematologic malignancy
123,NCT01306019,29:51:chronic_disease,Any current or pre-existing hematologic malignancy
124,NCT01986205,"1:18:treatment,35:60:treatment",Implanted devices not cleared for hyperbaric pressurization
125,NCT03013543,33:43:allergy_name,Significant hypersensitivity to study drug
126,NCT02589340,19:29:treatment,Unable to swallow study drug (capsule)
127,NCT02587962,",,,130:140:treatment","Currently breast feeding, pregnant or planning to conceive or father Children from screening through 120 Days after last dose of study drug"
128,NCT02584647,",,,131:141:treatment",Fertile men must agree to use an effective method of birth control during the study and for up to 3 months after the last dose of study drug
129,NCT02584647,",,,,,244:254:treatment",Women of child-bearing potential must have a negative serum pregnancy test at screening and must agree to use an effective form of contraception from the time of the negative pregnancy test and for a minimum of 3 months after the last dose of study drug
130,NCT02582827,",,,,,183:193:treatment",Women of childbearing potential and women < 12 months since onset of menopause must have a negative serum pregnancy test (ß-hCG) within 24 hours prior to the first administration of study drug
131,NCT02578901,",,,112:122:treatment,",Subjects who are pregnant or nursing or unwilling to use contraception during and for 30 days after taking the study drug (both males and females)
132,NCT02576444,",,,124:134:treatment",Women of child-bearing potential must have a negative pregnancy test (urine or serum) within 28 days prior to starting the study drug
133,NCT02553642,",114:124:treatment",All baseline laboratory requirements will be assessed and should be obtained within 14 days of the first dose of study drug
134,NCT02527681,39:49:treatment,"Sufficient vascular access to receive study drug, and to allow blood sampling at a site separate from the study drug infusion site"
135,NCT02520427,",,,98:108:treatment",Women planning to become pregnant while on study through 1 week after receiving the last dose of study drug
136,NCT02520427,",,127:137:treatment",Women who are lactating/breastfeeding or who plan to breastfeed while on sudy through 1 week after receiving the last dose of study drug
137,NCT02520011,",,,,,,336:346:treatment","Be nonfertile or agree to use an adequate method of contraception. Sexually active patients and their partners must use an effective method of contraception associated with a low failure rate prior to study entry, for the duration of study participation, and for at least 3 months (males) and 6 months (females) after the last dose of study drug"
138,NCT02519322,120:130:treatment,"A known or underlying medical condition that, in the opinion of the Investigator, could make the administration of the study drug hazardous to the subject or could adversely affect the ability of the subject to comply with or tolerate the study"
139,NCT02519322,",76:86:treatment,",WOCBP must follow instructions for birth control when the half-life of the study drug is > 24 hours
140,NCT02519322,",,105:115:treatment",WOCBP should use an adequate method to avoid pregnancy for 24 weeks (30 days plus the time required for study drug to undergo 5 half-lives) after the last dose of study drug
141,NCT02519322,",25:35:treatment",Within 4 weeks prior to study drug administration
142,NCT02519322,",109:119:treatment,,,","men who are sexually active with WOCBP must follow instructions for birth control when the half-life of the study drug is > 24 hours, contraception should be continued for 90 days plus the time required for the study drug to undergo 5 half-lives"
143,NCT02501096,",,77:87:treatment",A pregnancy test needs to be performed within 72 hours of the first dose of study drug
144,NCT02501096,",,114:124:treatment",Must be on a stable dose of the same oral hormonal contraceptive product for at least 4 weeks before dosing with study drug and for the duration of the study
145,NCT02495168,16:26:treatment,Able to inhale study drug properly
146,NCT02495168,",19:29:treatment",for 30 days after study drug discontinuation
147,NCT02495168,",23:33:treatment",for 30 days after the study drug discontinuation
148,NCT02481310,",,195:205:treatment","Of childbearing potential and agree to practice 2 effective methods of contraception, at the same time, from the time of signing the informed consent form through 90 days after the last dose of study drug"
149,NCT02466009,55:65:allergy_name,Known or suspected allergy or hypersensitivity to the study drug
150,NCT02466009,",,171:181:treatment",Subjects of childbearing potential must agree to use adequate contraception beginning at the signing informed consent form until at least 3 months after the last dose of study drug
151,NCT02465268,",,,,176:186:treatment",Women of childbearing potential and male participants must be willing to practice adequate contraception throughout the study and for at least 24 weeks after the last dose of study drug
152,NCT02459119,",,,121:131:treatment",Women of childbearing potential must have a negative serum pregnancy test performed within 7 days prior to the start of study drug
153,NCT02437110,71:81:treatment,competent caregiver who can and will be responsible for administering study drug
154,NCT02431897,37:47:treatment,Physically able to apply/insert the study drug
155,NCT02429934,",,,,163:173:treatment",Women of child bearing potential unwilling or unable to use an acceptable method to avoid pregnancy for the entire study period and for up to 2 months after last study drug
156,NCT02423525,",,102:112:treatment",Women of child-bearing potential has negative serum or urine pregnancy test before the initiation of study drug dosing
157,NCT02417701,",,,,,383:393:treatment","The effects of MLN0128 (TAK-228) on the developing human fetus are unknown; for this reason women of child-bearing potential and men must agree to practice 1 highly effective method of contraception and 1 additional effective (barrier) method, at the same time, prior to study through 90 days (or longer, as mandated by local labeling [eg, USPI, SmPC, etc;]) after the last dose of study drug"
158,NCT02414269,",,218:228:treatment,,,,",Subjects and their partners with reproductive potential must agree to use an effective form of contraception during the period of drug administration and for 4 weeks after completion of the last administration of the study drug. An effective form of contraception is defined as oral contraceptives plus 1 form of barrier or double-barrier method contraception (condom with spermicide or condom with diaphragm)
159,NCT02411656,",,237:247:treatment,","Subjects of childbearing potential should be willing to use effective methods of birth control or be surgically sterile, or abstain from heterosexual activity for the course of the study through at least 4 months after the last dose of study drug; subjects of childbearing potential are those who have not been surgically sterilized or have not been free from menses for > 1 year"
160,NCT02393794,",34:44:treatment",within 14 days prior to starting study drug or has not recovered from major side effects
161,NCT02393794,",,72:82:treatment","within either 14 days or 5 half-lives (whichever is shorter), prior to study drug administration"
162,NCT02393794,",29:39:treatment",? 2 weeks prior to starting study drug
163,NCT02392572,",,,151:161:treatment",Sexually active men must also use acceptable contraceptive methods for the duration of time on study and for at least 16 weeks after the last dose of study drug
164,NCT02392572,",,,,,,,,,,,313:323:treatment","Women of child-bearing potential (i.e., women who are pre-menopausal or not surgically sterile) must use acceptable contraceptive methods (abstinence, intrauterine device [IUD], oral contraceptive or double barrier device, such as a condom, diaphragm, or cervical/vault cap), for 16 weeks after the last dose of study drug"
165,NCT02385110,",,,,,251:261:treatment","Male patients with female partners who are of childbearing potential: Recommendation is for male and partner to use at least 2 effective contraceptive methods, as described above, prior to study entry and for at least 3 months after the last dose of study drug"
166,NCT02385110,",,,181:191:treatment","Recommendation is for male and partner to use at least 2 effective contraceptive methods, as described above, prior to study entry and for at least 3 months after the last dose of study drug"
167,NCT02350764,",,,,,185:195:treatment",Women of childbearing potential (WOCBP) must have a negative serum or urine pregnancy test (minimum sensitivity 25 IU/L or equivalent units of HCG) within 3 days prior to the start of study drug
168,NCT02346526,",,134:144:treatment",Subjects must agree to use adequate contraception beginning at the signing of the ICF until at least 6 months after the last dose of study drug
169,NCT02338999,200:210:treatment,"Significant impairment of major organ function (lung, heart, liver, kidney) or any condition that, in the opinion of the Investigator, would jeopardize the subject s safety following exposure to the study drug"
170,NCT02336451,",76:86:treatment",Be neurologically stable within at least 1 week prior to the first dose of study drug
171,NCT02314377,",,44:54:treatment",Age greater than 18 years at time of first study drug administration
172,NCT02303977,",,86:96:treatment",Patients must agree to continue contraception for 3 months from the date of the last study drug administration
173,NCT02278315,",,,,166:176:treatment","Women of childbearing potential and men who are able to father a child, must agree to use an effective contraception method during study and for 12 months following study drug administration"
174,NCT02278250,",,,,,123:133:treatment","Female participants who are already pregnant or lactating, or plan to become pregnant within 6 months of the last dose of study drug"
175,NCT02278250,",,,,137:147:treatment",Men with pregnant or lactating partners or partners who plan to become pregnant during the study or within 6 months of the last dose of study drug
176,NCT02269293,",,,,,347:357:treatment,,,,","Patients of childbearing potential must have a negative pregnancy test prior to the study entry and be practicing an effective form of contraception. Sexually active subjects must agree to use medically accepted barrier methods of contraception (e.g., male or female condom) during the course of the study and for 4 months after the last dose of study drug, even if oral contraceptives are also used. All subjects of reproductive potential must agree to use both a barrier method and a second method of birth control during the course of the study and for 4 months after the last dose of study drug. Pregnant women are excluded from this study because of the potential for teratogenic or abortifacient effects"
177,NCT02259621,100:110:treatment,"Underlying medical conditions that, in the Investigator's opinion, will make the administration of study drug hazardous or obscure the interpretation of toxicity or adverse events"
178,NCT02252081,26:36:treatment,Known intolerance to the study drug
179,NCT02236013,",,124:134:treatment","Female subject must not donate ova starting at Screening and throughout the study period, and for 180 days after the final study drug administration"
180,NCT02236013,",,92:102:treatment",must agree not to try to become pregnant during the study and for 180 days after the final study drug administration
181,NCT02236013,",,,174:184:treatment",must use two forms of birth control* (at least one of which must be a barrier method) starting at Screening and throughout the study period and for 180 days after the final study drug administration
182,NCT02203695,47:57:treatment,Patients must have the ability to swallow the study drug whole as a tablet or capsule
183,NCT02203695,",,,,,283:293:treatment",male patient and his female partner who is of childbearing potential must use 2 acceptable methods of birth control (1 of which must include a condom as a barrier method of contraception) starting at screening and continuing throughout the study period and for 3 months after final study drug administration or per local guidelines where these require additional description of contraceptive methods
184,NCT02166905,104:114:treatment,"Any condition which in the Investigator's opinion deems the patient an unsuitable candidate to receive study drug (i.e., any significant medical illness or abnormal laboratory finding that would, in the investigator's judgment, increase the patient's risk by participating in this study)"
185,NCT02135588,",,,,,,,286:296:treatment","Women of child-bearing potential (i.e., women who are pre-menopausal or not surgically sterile) must be willing to use an acceptable contraceptive method (abstinence, oral contraceptive or double barrier method) for the duration of the study and for 30 days following the last dose of study drug"
186,NCT02132598,",,,,218:228:treatment","For this reason women of child-bearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry and for 4 months after the last dose of study drug, even if oral contraceptives are used"
187,NCT02098161,",,,114:124:treatment,",Sexually active males must use a condom during intercourse while taking the drug and for 3 months after stopping study drug and should not father a child in this period; a condom is required to be used also by vasectomized men in order to prevent delivery of the drug via seminal fluid
188,NCT01976585,",,,180:190:treatment",Patients of reproductive potential and their partners must agree to use an effective (> 90% reliability) form of contraception during the study and for 4 weeks following the last study drug administration
189,NCT01972919,",,,,,224:234:treatment","Pregnancy or women of childbearing potential and men who are sexually active and not willing/able to use medically acceptable forms of contraception during the course of the study and for women, for 3 months after the last study drug administration"
190,NCT01959204,",142:152:treatment","Had a clinically significant illness, except for the condition for which the procedure is being performed, in the 28 days before dosing with study drug as determined by the clinical investigator"
191,NCT01896999,",48:58:treatment,,,",continuing for 5 months after the last dose of study drug (for female patients) and for 7 months after the last dose of study drug (for male patients who are sexually active with WOCBP)
192,NCT01822522,",,,192:202:treatment",all participants of reproductive potential must agree to use both a barrier method and a second method of birth control during the course of the study and for 6 months after the last dose of study drug
193,NCT01684397,104:114:treatment,Any condition which in the investigator's opinion deems the subject an unsuitable candidate to receive study drug
194,NCT01554371,59:69:allergy_name,Patients with known hypersensitivity to the components of study drug or its analogs
195,NCT01553071,",,,118:128:treatment","For women of child-bearing potential, a negative serum pregnancy test is required within 72 hours prior to receiving study drug each cycle"
196,NCT01532687,",37:47:treatment",for 6 months prior to first dose of study drug
197,NCT01532687,",39:49:treatment",within 28 days prior to first dose of study drug
198,NCT01415882,",,,,201:211:treatment",Pregnant women or women of reproductive ability who are unwilling to use 2 effective methods of contraception from the time of signing the informed consent form through 90 days after the last dose of study drug
199,NCT00967785,",,,,137:147:treatment",Willingness to interrupt medications to raise the white count (WBC) such as G-CSF or GM-CSF for at least 1 week before and while on the study drug
200,NCT03161028,19:22:treatment,Unable to undergo MRI
201,NCT03114891,1:4:allergy_name,MRI contraindications
202,NCT02995590,63:66:treatment,Subjects with any implanted device that cannot be verified as MRI compliant
203,NCT02920788,108:111:allergy_name,"other reasons for being unable or unwilling to participate in study procedures (e.g., contraindications to MRI)"
204,NCT02891564,27:30:treatment,ability to participate in MRI
205,NCT02875301,21:24:treatment,Eligible to undergo MRI
206,NCT02857218,42:45:allergy_name,Subjects who have a contraindication for MRI
207,NCT02719327,28:31:allergy_name,other contraindication for MRI
208,NCT02665338,21:24:allergy_name,Contraindication to MRI
209,NCT02573246,47:50:treatment,participants must also be able to tolerate an MRI
210,NCT02514915,25:28:treatment,No contraindications to MRI scanning with intravenous contrast
211,NCT02478268,44:47:treatment,does not fit into 129Xe vest coil used for MRI
212,NCT02473250,27:30:treatment,inability to fit into the MRI scanner
213,NCT02457845,",,80:83:treatment",Lesion must be > 1.0 cm in diameter and surgically accessible as determined by MRI
214,NCT02446886,35:38:treatment,Patients unwilling to have serial MRI exams
215,NCT02422641,21:24:treatment,Contraindication to MRI
216,NCT02387905,56:59:treatment,Patients unable to undergo magnetic resonance imaging (MRI) of the spine
217,NCT02340156,"23:26:treatment,",Measurable disease on MRI performed within 14 days prior to registration
218,NCT02335671,28:31:treatment,Patient must meet standard MRI guidelines and be able and willing to undergo MRI
219,NCT02335242,29:32:treatment,"Have no contraindication to MRI examinations such as metal implants, etc"
220,NCT02332291,1:4:allergy_name,MRI contraindications
221,NCT02314377,89:92:treatment,Diffuse lesion that cannot be assessed in terms of volume by cross-sectional imaging on MRI
222,NCT02314377,22:25:treatment,Inability to undergo MRI scans
223,NCT02310633,4:7:treatment,No MRI contraindications
224,NCT02263729,28:31:treatment,Have contraindications for MRI
225,NCT02233868,76:79:treatment,"Presence of ferromagnetic objects in the body that are contraindicated for MRI of the head, fear of enclosed spaces, or other standard contraindication to MRI (self-report checklist)"
226,NCT02169739,29:32:treatment,Medical contraindication to MRI
227,NCT02163317,23:26:treatment,be able to undergo an MRI with contrast
228,NCT02163317,22:25:treatment,unable to undergo an MRI with contrast
229,NCT02154568,27:30:treatment,Any condition for which a MRI procedure is contraindicated
230,NCT02101736,19:22:treatment,Central review or MRI required prior to enrollment
231,NCT02095678,51:54:treatment,No contraindications to getting contrast enhanced MRI examinations
232,NCT02095678,37:40:treatment,Patients with contraindications for MRI due to embedded foreign metallic objects
233,NCT02085941,48:51:treatment,must have a mass that is well-visualized under MRI
234,NCT02076906,22:25:treatment,Inability to undergo MRI and/or contraindication for MRI
235,NCT02047721,21:24:treatment,contraindication to MRI
236,NCT02035085,19:22:treatment,Unable to undergo MRI
237,NCT02013778,39:42:treatment,Contraindication to contrast enhanced MRI (i.e. unable to undergo follow-up imaging)
238,NCT02008656,64:67:treatment,"Clinical Stage II (T3-4, N-) or Stage III (any T, N+) based on MRI"
239,NCT02008656,39:42:treatment,Patients who are unable to undergo an MRI
240,NCT01992861,"31:34:treatment,,","for the test-retest sub-study MRI, patients must have a GFR of > 60 mL/min/1.73m^2"
241,NCT01954576,25:28:treatment,Unable to undergo brain MRI due to medical or personal reasons
242,NCT01850758,23:26:treatment,Contraindications for MRI
243,NCT01754298,45:48:treatment,Patient deemed skeletally immature based on MRI
244,NCT01734512,",,,133:136:treatment","Patients must have measurable disease, defined as at least one lesion that can be accurately measured in at least two dimensions on MRI"
245,NCT01734512,48:51:treatment,Patients who do not have measurable disease on MRI
246,NCT01734512,53:56:treatment,Progressive or recurrent disease should be based on MRI according to the definition below
247,NCT01653093,",,,108:111:treatment",Patients must have an estimated glomerular filtration rate of >= 30 mL/min/1.73m^2 within six weeks of the MRI
248,NCT01614990,71:74:treatment,Conditions that would preclude from successfully scanning subjects in MRI
